Timestamp;Hidrógeno (ppm);Metano (ppm);Acetileno (ppm);Etileno (ppm);Etano (ppm);Monóxido de carbono (ppm);Dióxido de carbono (ppm);Oxígeno (ppm);Gas combustible disuelto total (ppm);Agua (ppm)
1/6/2025 8:00:00;"8,8";"10,7";"0,0";"3,5";"8,2";"1089,9";"4506";"20333,5";"1121";"3,6"
1/6/2025 2:00:00;"8,8";"10,2";"0,0";"3,5";"8,3";"1092,5";"4567";"20374,8";"1123";"3,5"
31/5/2025 20:00:00;"8,8";"8,9";"0,0";"3,5";"8,7";"1093,6";"4530";"20335,6";"1124";"3,3"
31/5/2025 14:00:00;"8,8";"12,6";"0,0";"3,6";"8,8";"1093,4";"4489";"20453,6";"1127";"3,2"
31/5/2025 8:00:00;"8,8";"11,8";"0,0";"3,6";"9,0";"1091,7";"4496";"20373,6";"1125";"3,6"
31/5/2025 2:00:00;"8,8";"7,8";"0,0";"3,6";"9,2";"1094,1";"4562";"20327,9";"1124";"3,8"
30/5/2025 20:00:00;"8,9";"12,4";"0,0";"3,6";"10,1";"1095,9";"4511";"20301,3";"1131";"3,7"
30/5/2025 14:00:00;"8,8";"13,0";"0,0";"3,5";"9,1";"1093,6";"4506";"20330,6";"1128";"3,6"
30/5/2025 8:00:00;"8,8";"12,3";"0,0";"3,5";"9,3";"1093,5";"4476";"20293,1";"1127";"3,5"
30/5/2025 2:00:00;"8,7";"8,5";"0,0";"3,7";"9,0";"1095,2";"4547";"20339,3";"1125";"3,7"
29/5/2025 20:00:00;"8,8";"12,0";"0,0";"3,7";"9,9";"1095,2";"4505";"20328,9";"1130";"3,8"
29/5/2025 14:00:00;"8,6";"12,4";"0,0";"3,5";"9,7";"1094,3";"4504";"20269,6";"1128";"3,7"
29/5/2025 2:00:00;"8,8";"9,6";"0,0";"3,5";"8,5";"1093,5";"4552";"20368,5";"1124";"3,7"
28/5/2025 20:00:00;"8,9";"7,3";"0,0";"3,5";"9,0";"1095,1";"4539";"20244,0";"1124";"3,7"
28/5/2025 14:00:00;"9,0";"12,5";"0,0";"3,4";"9,1";"1094,8";"4524";"20264,9";"1129";"3,7"
28/5/2025 8:00:00;"8,8";"10,5";"0,0";"3,3";"8,2";"1091,3";"4504";"20307,8";"1122";"3,6"
28/5/2025 2:00:00;"8,7";"7,1";"0,0";"3,5";"8,8";"1092,0";"4490";"20355,4";"1120";"3,7"
27/5/2025 20:00:00;"8,9";"11,2";"0,0";"3,5";"8,9";"1093,0";"4481";"20307,3";"1126";"3,7"
27/5/2025 14:00:00;"8,8";"12,5";"0,0";"3,6";"9,4";"1096,3";"4506";"20319,6";"1131";"3,6"
27/5/2025 8:00:00;"8,6";"10,7";"0,0";"3,5";"7,9";"1091,1";"4474";"20336,4";"1122";"3,6"
27/5/2025 2:00:00;"8,7";"9,1";"0,0";"3,5";"8,5";"1093,3";"4548";"20295,9";"1123";"3,8"
26/5/2025 20:00:00;"8,8";"8,8";"0,0";"3,5";"8,5";"1093,0";"4517";"20316,2";"1123";"3,7"
